Pink Floyd	Progressive rock	classic rock	Psychedelic Rock	rock	psychedelic	british	Progressive	Pink Floyd	70s	alternative	
Coldplay	rock	alternative	britpop	alternative rock	indie	british	Coldplay	pop	indie rock	pop rock	
Arctic Monkeys	indie rock	indie	british	rock	alternative	alternative rock	britpop	arctic monkeys	Garage Rock	UK	
Foo Fighters	rock	alternative rock	Grunge	alternative	hard rock	post-grunge	foo fighters	indie	american	punk	
Calvin Harris	electronic	dance	electro	Disco	electronica	british	Scottish	House	indie	pop	
Ed Sheeran	acoustic	british	singer-songwriter	easy-listening	Grime	male vocalists	pop	alternative	folk	indie	
Lana Del Rey	female vocalists	indie	indie pop	pop	alternative	american	singer-songwriter	sadcore	chamber pop	Lana Del Rey	
Radiohead	alternative	alternative rock	rock	indie	electronic	british	britpop	indie rock	experimental	radiohead	
Maroon 5	rock	pop	pop rock	alternative	alternative rock	maroon 5	indie	american	male vocalists	funk	
Daft Punk	electronic	House	dance	electronica	techno	french	electro	alternative	Daft Punk	french house	
Lorde	pop	indie pop	electronic	indie	New Zealand	female vocalists	alternative	art pop	indietronica	synthpop	
Imagine Dragons	indie	indie rock	alternative	rock	indie pop	alternative rock	american	pop	IMAGINE DRAGONS	male vocalists	
alt-J	indie	electronic	british	alternative	indie pop	experimental	indie rock	male vocalists	Experimental Rock	psychedelic folk	
Red Hot Chili Peppers	rock	alternative rock	alternative	funk	Funk Rock	Red Hot Chili Peppers	punk	american	indie	90s	
Sam Smith	soul	pop	british	electronic	dance	male vocalists	england	r&b	rnb	indie	
Sia	female vocalists	chillout	indie	downtempo	trip-hop	australian	singer-songwriter	pop	electronic	alternative	
Muse	alternative rock	rock	alternative	Progressive rock	indie	british	indie rock	britpop	Muse	Progressive	
Eminem	rap	Hip-Hop	hip hop	Eminem	pop	american	detroit	hiphop	Gangsta Rap	slim shady	
David Guetta	House	dance	electronic	club	techno	french	David Guetta	electronica	electro	pop	
Linkin Park	rock	Nu Metal	alternative rock	alternative	metal	rapcore	Linkin Park	Nu-metal	alternative metal	american	
Queen	classic rock	rock	80s	hard rock	glam rock	british	Queen	70s	pop	Progressive rock	
Ariana Grande	pop	female vocalists	rnb	Ariana Grande	nickelodeon	r&b	dance	soul	american	Bridgit Mendler	
Taylor Swift	country	pop	female vocalists	singer-songwriter	acoustic	taylor swift	country pop	american	female vocalist	female	
Katy Perry	pop	female vocalists	pop rock	indie	rock	katy perry	american	dance	female vocalist	electronic	
Nirvana	Grunge	rock	alternative	alternative rock	90s	punk	Nirvana	american	indie	seattle	
David Bowie	glam rock	rock	classic rock	80s	alternative	british	pop	glam	70s	singer-songwriter	
Avicii	House	electronic	dance	Progressive House	electro house	swedish	electronica	club	Avicii	Sweden	
Kanye West	Hip-Hop	rap	hip hop	rnb	Kanye West	american	Gay Fish	pop	hiphop	chicago	
The Black Keys	blues rock	blues	rock	indie	indie rock	Garage Rock	alternative	american	alternative rock	Lo-Fi	
The xx	indie	electronic	british	post-punk	dance	alternative	dream pop	indie rock	indie pop	shoegaze	
Metallica	thrash metal	metal	heavy metal	hard rock	rock	metallica	speed metal	classic rock	american	80s	
Iggy Azalea	Hip-Hop	rap	pop	hip hop	australia	female vocalists	australian	electronic	trap	electropop	
Led Zeppelin	classic rock	rock	hard rock	70s	Progressive rock	blues rock	british	blues	Led Zeppelin	heavy metal	
Beyoncé	rnb	pop	female vocalists	soul	Hip-Hop	beyonce	dance	r&b	american	sexy	
The Beatles	classic rock	rock	british	60s	pop	psychedelic	The Beatles	oldies	beatles	Psychedelic Rock	
Hozier	blues	soul	indie	irish	singer-songwriter	alternative	ireland	folk	rock	indie rock	
Arcade Fire	indie	indie rock	alternative	Canadian	rock	alternative rock	indie pop	baroque pop	art rock	experimental	
The Killers	indie	rock	indie rock	alternative	alternative rock	The Killers	pop	american	britpop	new wave	
OneRepublic	rock	pop rock	alternative	alternative rock	indie	pop	american	piano rock	male vocalists	OneRepublic	
The Rolling Stones	classic rock	rock	british	60s	blues	blues rock	70s	hard rock	Rock and Roll	the rolling stones	
Rihanna	pop	rnb	female vocalists	dance	Hip-Hop	Rihanna	r&b	hip hop	reggae	sexy	
Florence + the Machine	indie	female vocalists	alternative	british	indie pop	pop	folk	singer-songwriter	indie rock	rock	
Röyksopp	electronic	chillout	ambient	electronica	norwegian	trip-hop	downtempo	dance	indie	electro	
Bastille	indie	electronic	alternative	british	House	indie rock	indie pop	pop	rock	male vocalists	
Gorillaz	alternative	electronic	Hip-Hop	rock	indie	trip-hop	pop	electronica	british	alternative rock	
U2	rock	classic rock	irish	pop	alternative	alternative rock	U2	80s	90s	pop rock	
Michael Jackson	pop	80s	dance	soul	funk	michael jackson	king of pop	rock	Disco	legend	
Tove Lo	pop	swedish	electronic	female vocalists	indie	electropop	indie pop	alternative	Sweden	female vocalist	
Meghan Trainor	pop	jazz	rock	soul	american	female vocalists	doo wop	United States	2010s	chubby	
Fall Out Boy	pop punk	rock	emo	alternative	punk	punk rock	alternative rock	indie	Fall Out Boy	pop	
Ellie Goulding	female vocalists	electronic	british	indie	indie pop	pop	synthpop	electropop	singer-songwriter	folktronica	
Green Day	punk rock	rock	punk	alternative	pop punk	alternative rock	green day	american	pop	90s	
Jessie J	pop	british	female vocalists	rnb	singer-songwriter	jessie j	dance	soul	r&b	Hip-Hop	
The Strokes	indie rock	indie	rock	alternative	alternative rock	Garage Rock	american	The Strokes	new york	post-punk	
Oasis	britpop	rock	british	alternative	indie	alternative rock	indie rock	90s	oasis	pop	
Lady Gaga	pop	dance	electronic	female vocalists	female vocalist	Lady Gaga	electropop	american	singer-songwriter	gaga	
The Cure	post-punk	new wave	alternative	80s	rock	alternative rock	goth	british	indie	Gothic Rock	
Bon Iver	folk	indie	singer-songwriter	acoustic	Lo-Fi	indie folk	american	alternative	Alt-country	americana	
Kings of Leon	rock	indie	indie rock	alternative	Southern Rock	alternative rock	american	Garage Rock	kings of leon	00s	
Nicki Minaj	Hip-Hop	rap	rnb	pop	hip hop	female vocalists	sexy	nicki minaj	dance	r&b	
The Smiths	indie	80s	new wave	post-punk	alternative	british	rock	indie rock	alternative rock	britpop	
Disclosure	electronic	UK Garage	future garage	dubstep	House	Rhythmic Noise	british	deep house	uk bass	uk funky	
Bob Dylan	folk	singer-songwriter	classic rock	folk rock	rock	blues	60s	Bob Dylan	american	acoustic	
M83	electronic	shoegaze	post-rock	indie	electronica	ambient	french	dream pop	experimental	indie rock	
Drake	Hip-Hop	rap	rnb	hip hop	Canadian	Drake	r&b	young money	Hip Hop/Rap	pop	
Foster the People	indie	indie pop	alternative	american	los angeles	indie rock	pop	electronic	rock	alternative rock	
System of a Down	metal	alternative metal	rock	Nu Metal	alternative	hard rock	alternative rock	System of a Down	Nu-metal	political	
Vance Joy	folk	indie	australian	singer-songwriter	acoustic	australia	Lowlands 2014	indie folk	turkishunicorn2	male vocalists	
The White Stripes	rock	alternative	alternative rock	indie	indie rock	Garage Rock	blues	blues rock	american	punk	
One Direction	pop	british	one direction	boyband	X factor	male vocalists	dance	pop rock	1d	harry styles	
CHVRCHES	synthpop	electronic	electropop	indie	female vocalists	Scottish	indie pop	pop	british	dreamwave	
Paramore	rock	pop punk	alternative	female vocalists	emo	alternative rock	punk	Paramore	pop rock	indie	
Slipknot	Nu Metal	metal	heavy metal	Nu-metal	rock	alternative metal	alternative	hard rock	Slipknot	metalcore	
The National	indie	indie rock	alternative	rock	alternative rock	post-punk	american	Alt-country	indie pop	Post-punk revival	
Kendrick Lamar	Hip-Hop	rap	west coast	compton	California	hip hop	american	West Coast Rap	underground hip-hop	black hippy	
Ben Howard	folk	acoustic	singer-songwriter	british	indie	indie folk	male vocalists	alternative	folk rock	UK	
Queens of the Stone Age	Stoner Rock	rock	alternative rock	hard rock	alternative	stoner	desert rock	metal	indie	american	
Damien Rice	singer-songwriter	acoustic	indie	folk	irish	alternative	rock	indie rock	damien rice	Mellow	
Adele	soul	female vocalists	british	singer-songwriter	indie	pop	Adele	jazz	female vocalist	acoustic	
Depeche Mode	electronic	new wave	80s	synth pop	synthpop	alternative	rock	british	electronica	Depeche Mode	
Vampire Weekend	indie	indie rock	indie pop	alternative	rock	american	pop	alternative rock	new york	experimental	
Jay-Z	Hip-Hop	rap	hip hop	east coast rap	jay-z	new york	East Coast	hiphop	american	rnb	
Azealia Banks	Hip-Hop	rap	electronic	female vocalists	hip-house	UK Garage	american	indie	electro	alternative	
